CoDIGO PERSONA;EMPRESA;EDAD;SEXO;SEGMENTO;SEGMENTO_PERSONAL;NACIONAL/ EXTRANJERO;AGRUPADOR;MES DE INICIO;TOTAL HORAS POR PERSONA;CAPACITACION_DE_PAGA;HORAS POR CURSO;CAPACIDAD;MODALIDAD;INVERSION PERCAPITA (US$);DOCENTE/INSTITUCIoN;ASISTENCIA
6540736;Rimac Seguros y Reasegrs;28;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540168;Rimac Seguros y Reasegrs;40;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6536016;Rimac Seguros y Reasegrs;33;Femenino;Empleado;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6539799;Rimac S.A. EPS;34;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6539751;Rimac Seguros y Reasegrs;25;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540273;Rimac Seguros y Reasegrs;24;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540537;Rimac Seguros y Reasegrs;37;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504260;Rimac Seguros y Reasegrs;29;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6531332;Rimac Seguros y Reasegrs;32;Masculino;Empleado;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6532260;Rimac Seguros y Reasegrs;26;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6501555;Rimac Seguros y Reasegrs;43;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6532678;Rimac Seguros y Reasegrs;24;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6501218;Rimac Seguros y Reasegrs;37;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6525920;Rimac Seguros y Reasegrs;27;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6507100;Rimac Seguros y Reasegrs;47;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6501593;Rimac Seguros y Reasegrs;33;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6524745;Rimac Seguros y Reasegrs;55;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6502922;Rimac Seguros y Reasegrs;40;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540506;Rimac S.A. EPS;35;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6542215;Rimac S.A. EPS;37;Femenino;Empleado;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6504892;Rimac S.A. EPS;38;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6509447;Rimac Seguros y Reasegrs;30;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541064;Rimac Seguros y Reasegrs;47;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6502089;Rimac Seguros y Reasegrs;46;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6502077;Rimac Seguros y Reasegrs;43;Femenino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504624;Rimac S.A. EPS;42;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6505032;Rimac S.A. EPS;46;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6502000;Rimac Seguros y Reasegrs;42;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500651;Rimac Seguros y Reasegrs;53;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6537110;Rimac Seguros y Reasegrs;45;Masculino;Gerente;GERENCIAL;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6506384;Rimac Seguros y Reasegrs;47;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540711;Rimac Seguros y Reasegrs;34;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6533793;Rimac Seguros y Reasegrs;31;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6541426;Rimac Seguros y Reasegrs;24;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6515693;Rimac Seguros y Reasegrs;33;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6538036;Rimac Seguros y Reasegrs;38;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541422;Rimac Seguros y Reasegrs;26;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6501841;Rimac Seguros y Reasegrs;38;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504491;Rimac S.A. EPS;39;Femenino;Empleado;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6500347;Rimac Seguros y Reasegrs;43;Femenino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504093;Rimac Seguros y Reasegrs;43;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6539460;Rimac Seguros y Reasegrs;30;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6500245;Rimac Seguros y Reasegrs;50;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6501578;Rimac Seguros y Reasegrs;38;Femenino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6501713;Rimac Seguros y Reasegrs;36;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6523755;Rimac S.A. EPS;40;Femenino;Empleado;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6538915;Rimac Seguros y Reasegrs;30;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6533811;Rimac Seguros y Reasegrs;27;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6536072;Rimac Seguros y Reasegrs;28;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6537857;Rimac Seguros y Reasegrs;24;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6538330;Rimac Seguros y Reasegrs;42;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6532806;Rimac Seguros y Reasegrs;47;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6502056;Rimac Seguros y Reasegrs;45;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6539177;Rimac Seguros y Reasegrs;36;Masculino;Empleado FFVV;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500206;Rimac Seguros y Reasegrs;41;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6539797;Rimac Seguros y Reasegrs;36;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500721;Rimac Seguros y Reasegrs;39;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6501642;Rimac Seguros y Reasegrs;49;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540898;Rimac Seguros y Reasegrs;31;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6511275;Rimac S.A. EPS;45;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540524;Rimac Seguros y Reasegrs;27;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6514313;Rimac Seguros y Reasegrs;32;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6541629;Rimac S.A. EPS;22;Masculino;Practicante;PRACTICANTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6533810;Rimac Seguros y Reasegrs;28;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6501928;Rimac Seguros y Reasegrs;48;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6509263;Rimac Seguros y Reasegrs;37;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6506077;Rimac Seguros y Reasegrs;34;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6510220;Rimac S.A. EPS;32;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6542220;Rimac Seguros y Reasegrs;31;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500197;Rimac Seguros y Reasegrs;50;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540756;Rimac Seguros y Reasegrs;26;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6539206;Rimac S.A. EPS;33;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541687;Rimac Seguros y Reasegrs;32;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6504461;Rimac S.A. EPS;44;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6538161;Rimac Seguros y Reasegrs;27;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6502057;Rimac Seguros y Reasegrs;35;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500885;Rimac Seguros y Reasegrs;41;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6524212;Rimac S.A. EPS;42;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6539734;Rimac Seguros y Reasegrs;30;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500630;Rimac Seguros y Reasegrs;39;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6529510;Rimac Seguros y Reasegrs;37;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6541038;Rimac Seguros y Reasegrs;28;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6502789;Rimac Seguros y Reasegrs;38;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6507311;Rimac Seguros y Reasegrs;36;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540635;Rimac Seguros y Reasegrs;33;Masculino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541609;Rimac Seguros y Reasegrs;21;Masculino;Practicante;PRACTICANTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6500189;Rimac Seguros y Reasegrs;47;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6501136;Rimac Seguros y Reasegrs;35;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6509072;Rimac Seguros y Reasegrs;53;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6504696;Rimac S.A. EPS;56;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540894;Rimac Seguros y Reasegrs;37;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6504244;Rimac Seguros y Reasegrs;38;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540303;Rimac Seguros y Reasegrs;35;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6514301;Rimac Seguros y Reasegrs;31;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540369;Rimac Seguros y Reasegrs;23;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6502355;Rimac Seguros y Reasegrs;37;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540887;Rimac Seguros y Reasegrs;38;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541392;Rimac Seguros y Reasegrs;37;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6542213;Rimac Seguros y Reasegrs;38;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6539440;Rimac Seguros y Reasegrs;31;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6536322;Rimac Seguros y Reasegrs;27;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504694;Rimac S.A. EPS;51;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6503590;Rimac Seguros y Reasegrs;47;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6536050;Rimac Seguros y Reasegrs;24;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540592;Rimac Seguros y Reasegrs;35;Masculino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6522956;Rimac Seguros y Reasegrs;26;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6503153;Rimac Seguros y Reasegrs;37;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504765;Rimac S.A. EPS;38;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6524384;Rimac Seguros y Reasegrs;32;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541423;Rimac Seguros y Reasegrs;23;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6502906;Rimac Seguros y Reasegrs;44;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6504496;Rimac S.A. EPS;41;Femenino;Empleado;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6532389;Rimac Seguros y Reasegrs;34;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504253;Rimac Seguros y Reasegrs;45;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6532392;Rimac Seguros y Reasegrs;29;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500555;Rimac Seguros y Reasegrs;46;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6526146;Rimac Seguros y Reasegrs;28;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6500424;Rimac Seguros y Reasegrs;46;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6541248;Rimac Seguros y Reasegrs;34;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6536862;Rimac Seguros y Reasegrs;23;Femenino;Practicante;PRACTICANTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6528282;Rimac Seguros y Reasegrs;26;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6502777;Rimac Seguros y Reasegrs;42;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6536356;Rimac Seguros y Reasegrs;32;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540804;Rimac Seguros y Reasegrs;46;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6506072;Rimac Seguros y Reasegrs;51;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500610;Rimac Seguros y Reasegrs;47;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6500532;Rimac Seguros y Reasegrs;42;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6526566;Rimac Seguros y Reasegrs;25;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
