CustomerID; Frecuencia; Monetary_value; Average_price; Recency; Country
12504;3;34;11.33333333;18; Alemania
12507;1; 193,5;241,875; 134,00; España
12508;1; 10,25; 0,683333333; 29,00; Francia
12510;1; 46,4; 1,45; 325,00; España
12512;1; 21,4; 0,548717949; 66,00; Israel
12513;1; 61,8;2,207,142,857; 112,00; Francia
12514;1;15; 1,25; 267,00; Italia
12516;2; 125,25;17,725; 77,00; Alemania
12517;4;78.7875;5.622102183;28; Alemania
12518;5;52,856;2,582,374,603; 0,00; Alemania
12519;1; 17,7; 2,95; 63,00; Alemania
12520;6;55.92666667;3.937719621;79; Alemania
12521;1; 109,72;2,551,627,907; 142,00; Alemania
12522;1; 14,85; 4,95; 51,00; Alemania
12523;8;29.595;5.565690972;1; Francia
12524;6;37.18666667;1.538519469;63; Alemania
12526;3; 16,7;4,183,333,333; 0,00; Alemania
12527;2; 11,72; 1,67; 81,00; Alemania
12528;5;49.336;2.72225641;9; Alemania
12530;3;34.70666667;2.528885942;59; Alemania
12531;1; 5,9; 2,95; 14,00; Alemania
12532;1; 47,7; 2,65; 30,00; Francia
12534;1; 85,5;2,514,705,882; 130,00; Alemania
12535;2; 59,65;5,911,363,636; 91,00; Francia
12536;2;283.855;1.241147541;7; Francia
12538;1; 15,9; 7,95; 29,00; España
12539;4;161.425;3.056722417;22; España
12540;15;134.4746667;4.454654754;19; España
12541;3;57.80333333;1.347118644;29; España
12544;1; 35,88;1,993,333,333; 36,00; España
12545;2;48.475;2.460952381;75; España
12546;1; 91,5;2,691,176,471; 46,00; España
12548;1; 17,4; 1,45; 166,00; España
12550;1; 36,1;1,805; 79,00; España
12551;1; 16,5; 1,65; 357,00; España
12552;1; 10,5; 0,42; 39,00; Italia
12553;9;43.57222222;2.103790647;9; Francia
12556;2; 21,51;18,155; 50,00; España
12557;4;212.09;1.835;158; España
12558;2; 12,48; 0,835; 1,00; EE. UU.
12559;1; 87,6;136,875; 319,00; Alemania
12560;4;108.4475;6.399356955;5; Alemania
12561;1; 44,3; 0,984444444; 302,00; Alemania
12562;7; 64,74;1,920,676,717; 8,00; Francia
12564;1; 93,6;8,509,090,909; 261,00; Francia
12566;1; 159,18;1,253,385,827; 86,00; Alemania
12567;10;144,768;2,133,266,947; 22,00; Francia
12569;18;26.57222222;5.457205026;2; Alemania
12571;2;43;1,004,285,714; 39,00; Francia
12572;2; 48,98;177,875; 8,00; Alemania
12573;1; 22,95;3,278,571,429; 227,00; Francia
12576;4;38,125;1,602,380,952; 95,00; Polonia
12577;3;30.84333333;2.26325641;35; Francia
12578;2; 175,25;3,987,076,096; 21,00; Italia
12579;1; 83,97;1,952,790,698; 78,00; Francia
12580;1; 71,1;1,871,052,632; 246,00; Alemania
12581;1;18;18; 39,00; Alemania
12582;1; 27,12; 1,13; 288,00; Finlandia
12583;15;63.81533333;2.979258941;2; Francia
12584;12;29.70833333;7.968611111;3; Italia
12585;2; 42,5;4,594,594,595; 234,00; Alemania
12587;1; 83,2; 2,08; 7,00; Finlandia
12589;2; 50,97;2,385,994,152; 28,00; Francia
12590;1;1665.3;1.345153473;211; Alemania
12591;1; 78,85;292,037,037; 317,00; Italia
12592;1; 73,4;1,411,538,462; 92,00; Alemania
12594;6;41.66666667;1.606245421;46; Italia
12596;1; 20,4; 0,85; 51,00; España
12597;4;75,745;2,847,200,342; 32,00; España
12598;7;58.35428571;1.986173469;9; Francia
12599;4; 10,8; 0,9; 29,00; Francia
12600;6;51.835;9.023333333;28; Alemania
12601;5;44,998;6,293,279,279; 189,00; Alemania
12602;1; 33,8; 0,704166667; 58,00; Francia
12607;2;-8.875;1.47937037;58; EE. UU.
12609;3; 59,44;1,828,547,009; 78,00; Alemania
12610;6;78.51666667;9.027103175;22; Italia
12611;1; 165,14;1,474,464,286; 52,00; Italia
12612;1; 89,7;2,803,125; 74,00; Alemania
12613;5;56.424;1.472656433;31; Alemania
12615;3;127.1533333;1.887604167;2; Francia
12616;3; 14,6;1,263,333,333; 95,00; Francia
12617;1; 29,95;1,996,666,667; 29,00; Francia
12618;1;40;40;21; Italia
12619;5;93.952;0.701169604;16; Alemania
12620;3;39.67333333;0.983939394;14; Francia
12621;16;81.25875;1.843871812;1; Alemania
12623;1; 25,5; 0,85; 276,00; Alemania
12624;2;31.02;2.715;106; Francia
12625;2;58.02;0.932045455;211; Alemania
12626;10;71.774;2.448819622;23; Alemania
12627;6;57.86666667;1.934015152;10; Alemania
12628;3;53.36333333;1.985714286;4; Alemania
12630;2; 52,99;1,730,490,196; 9,00; Finlandia
12631;1; 230,74;57,685; 57,00; Finlandia
12633;4; 60,33;2,101,635,463; 58,00; Alemania
12635;2; 37,66;1,009,285,714; 89,00; Alemania
12637;7; 86,95;1,804,452,811; 67,00; Francia
12638;1; 88,74;1,215,616,438; 33,00; Suecia
12640;1; 48,84;6,105; 81,00; Francia
12641;1; 10,5; 2,1; 115,00; Suecia
12642;3; 36,1;7,410,714,286; 25,00; Alemania
12643;3; 222,8; 7,7; 128,00; Francia
12644;1; 88,2; 2,94; 129,00; Alemania
12645;4; 25,1;1,425; 33,00; Alemania
12646;2; 48,85;2,164,285,714; 4,00; EE. UU.
12647;10;40.115;5.544768583;22; Alemania
12648;1; 51,45; 2,45; 154,00; Alemania
12649;3; 52,66;1,699,027,778; 107,00; Alemania
12650;1; 112,5; 3,75; 3,00; Francia
12651;1; 17,85; 5,95; 334,00; Francia
12652;1; 25,2; 2,1; 331,00; Francia
12653;2;134.2;1.395714286;148; Israel
12654;4;183,375;2,775; 37,00; Alemania
12656;5; 76,88;3,366,777,778; 17,00; Francia
12657;3;86.10333333;4.310935374;11; Francia
12658;1; 142,55;2,591,818,182; 18,00; Alemania
12660;1; 32,85; 2,19; 11,00; Francia
12662;10;39.461;2.318740683;0; Alemania
12664;3;176.9333333;4.512666667;58; Finlandia
12667;1; 17,7; 2,95; 58,00; Finlandia
12668;6;39.485;1.552946128;7; Alemania
12669;2; 87,13;1,185,572,424; 150,00; Francia
12670;5; 110,4;2,445,298,246; 10,00; Francia
12672;1; 40,35;4,483,333,333; 329,00; Francia
12673;2;20.275;1.532352941;5; Alemania
12674;4;63,695;2,597,346,847; 38,00; Francia
12676;2;50;20.625;260; Suecia
12678;9;252.3733333;1.524585704;42; Francia
12679;3;75.55333333;1.435339885;58; Francia
12680;4; 27,15;5,957,142,857; 0,00; Francia
12681;20;92.1885;2.937184755;14; Francia
12682;22;55.57454545;3.668501913;3; Francia
12683;15;68.68866667;3.18353451;4; Francia
12684;6;60.25333333;1.647428571;7; Francia
12685;6;42.82666667;2.031161747;28; Francia
12688;1; 391,19;1,253,814,103; 113,00; Israel
12689;2; 25,9;1,344,117,647; 25,00; Francia
12690;1; 36,3; 1,65; 205,00; Francia
12691;1; 109,6;3,425; 58,00; Francia
12693;4;19.225;6.315625;120; Alemania
12694;2;97.215;1.299774536;70; Francia
12695;3; 19,72; 2,13; 66,00; Francia
12697;3; 23,76; 0,73; 28,00; Suecia
12700;5;85,926;5,498,372,334; 7,00; Francia
12701;2; 41,63;1,901,904,762; 79,00; Alemania
12702;1; 59,9;2,722,727,273; 19,00; Alemania
12703;1; 34,8; 2,9; 71,00; Alemania
12704;6;66.285;2.203760734;22; Finlandia
12705;9;87.14444444;3.398199757;15; Alemania
12707;1; 110,1;17,203,125; 291,00; Francia
12708;10;25.794;3.457870674;60; Alemania
12709;14;69.89714286;3.294330265;15; Alemania
12710;2; 91,15;4,885; 96,00; Alemania
12712;8;71.125;4.006681256;28; Alemania
12713;1; 138,82;128,537,037; 0,00; Alemania
12714;5; 68,97;1,947,638,513; 9,00; Francia
12715;1; 20,8; 2,08; 106,00; Suecia
12716;1; 117,9;1.8421875;133; Francia
12717;2;105,225;3,327,469,758; 151,00; Grecia
12718;1; 29,4; 0,6125; 71,00; Francia
12719;2;51,125;1,393,243,243; 5,00; Francia
12720;17;40.67529412;1.528647614;2; Alemania
12721;5;46.424;4.227705251;31; Francia
12722;3; 52,21;5,447,318,841; 85,00; Francia
12723;3;34.52666667;6.146296296;16; Francia
12724;2; 19,4;1,266,666,667; 81,00; Francia
12725;1; 73,25;1,331,818,182; 371,00; Italia
12726;6; 60,77;1,852,207,792; 28,00; Francia
12727;6;57.98666667;6.556527778;10; Francia
12728;2;24;1; 71,00; Francia
12729;1; 71,9;1,563,043,478; 113,00; Francia
12731;11;221.3954545;3.97564615;23; Francia
12732;1; 17,7; 2,95; 179,00; Francia
12734;1; 46,8; 1,95; 352,00; Francia
12735;1;54;18; 315,00; Francia
12738;1;18;18; 372,00; Alemania
12740;1; 68,2; 3,41; 63,00; Francia
12743;2;45.215;1.021680162;134; Sin especificar
12744;6;293.2666667;472.643924;51; Singapur
12747;5;45,506; 2,96; 2,00; Reino Unido
12748;144;12.56798611;8.62476939;0; Reino Unido
12749;5;135.308;3.980076685;3; Reino Unido
12750;1; 50,9;175,172,414; 128,00; Polonia
12752;1; 94,56; 1,97; 81,00; Noruega
12753;9;352.7688889;2.226763187;3; Japón
12754;2; 3,15;1,333,333,333; 277,00; Japón
12757;8;-169.95625;226.1347883;28; Portugal
12758;2; 156,6;1,508,479,532; 116,00; Portugal
12759;3;63.03333333;1.615805491;52; Países Bajos
12762;1; 123,36;1,468,571,429; 7,00; Portugal
12763;1;87; 1,45; 138,00; Japón
12764;1; 165,65;4,477,027,027; 316,00; Líbano
12766;7;111.9471429;2.127036896;3; Portugal
12769;1; 144,75;3,216,666,667; 238,00; Brasil
12772;1; 140,45;1,232,017,544; 59,00; Portugal
12775;3;24.87666667;1.735405405;17; Países Bajos
12778;3; 24,28; 0,971632653; 63,00; Países Bajos
12779;6;82.73166667;3.824064094;37; Polonia
12781;2; 51,3;2,175; 63,00; República Checa
12782;5;36.672;2.157205674;4; Portugal
12783;5;-17,668;5,851,116,667; 2,00; Portugal
12784;1; 40,5;2,025; 15,00; Portugal
12785;1; 12,5; 1,25; 364,00; Portugal
12787;2; 24,9;8,225; 91,00; Países Bajos
12790;1; 97,92;2,128,695,652; 192,00; Países Bajos
12791;1;15;15; 373,00; Países Bajos
12792;1; 72,9; 0,998630137; 256,00; Portugal
12793;2; 52,3;1,397,692,308; 334,00; Portugal
12794;2; 52,74;2,113,571,429; 53,00; Portugal
12795;1; 77,95;8,661,111,111; 18,00; Portugal
12797;1;30; 1,25; 365,00; Portugal
12798;1; 414,72; 0,72; 170,00; Japón
12802;1; 48,7;1,432,352,941; 186,00; Países Bajos
12808;2; 20,15;2,015; 36,00; Portugal
12811;3; 47,7;1,060,187,735; 260,00; Portugal
12812;1; 34,5; 3,45; 44,00; Japón
12815;2; 52,8;1,259,375; 147,00; Polonia
12816;2;12,525; 2,9; 95,00; Polonia
12817;1;139;3.756756757;281; Austria
12818;1; 77,5; 7,75; 261,00; Austria
12820;4; 28,45;1,711,931,818; 3,00; Reino Unido
12821;1; 10,2; 0,85; 214,00; Reino Unido
12822;1; 25,2; 2,1; 70,00; Reino Unido
12823;1;459; 7,65; 254,00; Reino Unido
12824;1; 10,2; 0,85; 59,00; Reino Unido
12826;5; 34,9;1,526,995,726; 71,00; Reino Unido
12827;2;44,655;3,274,285,714; 32,00; Reino Unido
12828;3; 17,65; 3,35; 65,00; Reino Unido
12829;1; 13,5; 6,75; 336,00; Reino Unido
12830;2; 390,24; 0,49125; 37,00; Reino Unido
12831;1; 50,95;2,038; 262,00; Reino Unido
12832;1; 17,85; 5,95; 32,00; Reino Unido
12833;1; 16,35; 5,45; 145,00; Reino Unido
12834;1; 72,3;3,286,363,636; 282,00; Reino Unido
12836;4; 85,07;2,405,945,911; 59,00; Reino Unido
12837;1;17;8.5;173; Reino Unido
12838;2;50.415;2.332083333;33; Reino Unido
12839;11;36.54090909;1.591272749;2; Reino Unido
12840;4;85,325;2,038,584,198; 143,00; Reino Unido
12841;20;12.3695;2.182011146;4; Reino Unido
12842;2; 82,89;1,845,789,474; 70,00; Reino Unido
12843;6; 16,9;2,690,951,236; 159,00; Reino Unido
12844;2;4.885;1.22125;29; Reino Unido
12845;3;71.66666667;2.55;268; Reino Unido
12847;1; 85,29; 0,947666667; 22,00; Reino Unido
12849;2;25.225;5.4375;31; Reino Unido
12851;1; 11,9; 1,19; 96,00; Reino Unido
12852;1;58.05;5.277272727;294; Reino Unido
12853;4;38.945;4.111136364;134; Reino Unido
12854;4; 55,9;4,729,062,946; 78,00; Reino Unido
12855;1; 10,2; 0,85; 372,00; Reino Unido
12856;6;47.11333333;2.096941317;7; Reino Unido
12857;2;69,625;5,803,333,333; 210,00; Reino Unido
12863;1; 59,4; 4,95; 52,00; Reino Unido
12865;2; 94,16;1,806,118,012; 26,00; Austria
12866;1; 37,5;1,630,434,783; 283,00; Bélgica
12867;8;58.665;0.987293809;26; Reino Unido
12868;6;42.82666667;2.337651515;185; Reino Unido
12872;2;30.375;1.473026316;326; Reino Unido
12875;1; 293,76; 0,17; 362,00; Reino Unido
12876;2; 75,53;1,419,112,554; 57,00; Bélgica
12877;7;29.52857143;1.549728793;24; Reino Unido
12878;2; 43,8;1,310,714,286; 236,00; Reino Unido
12879;3; 17,37;1,374,444,444; 44,00; Reino Unido
12881;1; 36,8; 4,6; 275,00; Reino Unido
12882;1; 145,8; 7,29; 33,00; Reino Unido
12883;3;27.06333333;4.342333333;24; Reino Unido
12885;2;90,325;3,602,457,002; 63,00; Reino Unido
12886;2; 81,34;1,383,552,448; 67,00; Reino Unido
12888;1; 25,2; 2,1; 255,00; Reino Unido
12890;1; 42,02; 0,823921569; 24,00; Reino Unido
12893;1; 20,88;2,088; 30,00; Reino Unido
12895;1; 32,4; 1,35; 86,00; Reino Unido
12897;2; 43,85; 3,2; 204,00; Reino Unido
12901;12;155.56;2.122166667;43; Reino Unido
12904;2; 22,78;1,624,833,333; 18,00; Reino Unido
12906;3; 65,27;1,129,903,101; 11,00; Reino Unido
12909;6;17.09;3.551339869;39; Reino Unido
12910;5;70.272;2.488;23; Reino Unido
12912;2; 154,98;2,512,857,143; 8,00; Reino Unido
12913;3; 61,14;1,577,252,747; 15,00; Reino Unido
12915;2; 13,15; 4,3; 148,00; Reino Unido
12916;4;49,775;3,080,808,271; 138,00; Reino Unido
12919;4;23.085;1.71;16; Reino Unido
12920;1; 0,75; 0,75; 17,00; Reino Unido
12921;33;68.04212121;2.241614834;9; Reino Unido
12922;1; 21,84; 0,455; 161,00; Reino Unido
12923;1; 4,58; 2,29; 64,00; Reino Unido
12924;1; 0,83; 0,83; 88,00; Reino Unido
12925;2; 47,64; 0,9925; 4,00; Reino Unido
12928;3;34.76666667;2.822916667;35; Reino Unido
12929;1;17;8.5;311; Reino Unido
12930;3;3.933333333;2.95;78; Reino Unido
12931;6;728.2366667;1.574784946;30; Reino Unido
12933;3;18.47333333;2.067333333;24; Reino Unido
12935;6;34.56166667;1.235771678;2; Reino Unido
12936;2;83.555;2.101142857;17; Reino Unido
12937;3;50.85333333;1.556324786;15; Reino Unido
12939;4;361.25;2.660714286;79; Reino Unido
12940;2; 44,81;1,224,254,808; 54,00; Reino Unido
12942;3;37.76333333;6.7975;131; Reino Unido
12944;2;64; 3,1; 35,00; Reino Unido
12945;1;17;8.5;288; Reino Unido
12947;5;31.918;3.949477895;143; Reino Unido
12948;4;52.1825;2.573086771;59; Reino Unido
12949;5; 74,18;2,125,762,691; 30,00; Reino Unido
12950;1;179; 1,79; 8,00; Reino Unido
12951;4;28,375;3,745,614,035; 8,00; Reino Unido
12952;4;12.9075;2.861;5; Reino Unido
12953;1; 41,5;1,383,333,333; 9,00; Reino Unido
12955;11;56.52272727;2.506590909;1; Reino Unido
12956;1; 28,35; 5,67; 306,00; Reino Unido
12957;6; 60,96;1,353,587,624; 9,00; Reino Unido
12962;1; 35,4; 2,95; 7,00; Reino Unido
12963;6;26,325;3,516,666,667; 8,00; Reino Unido
12965;1; 82,31;391,952,381; 89,00; Reino Unido
12966;1; 35,6; 4,45; 9,00; Reino Unido
12967;3;49.26666667;13.38809524;3; Reino Unido
12970;2; 23,58;1,332,567,568; 7,00; Reino Unido
12971;34;28.68382353;1.735184874;3; Reino Unido
12976;1; 26,1; 0,790909091; 211,00; Reino Unido
12980;2; 558,63; 19,17; 176,00; Reino Unido
12981;1; 17,4; 1,45; 133,00; Reino Unido
12982;1; 25,2; 1,05; 242,00; Reino Unido
12985;2; 92,79; 0,422439252; 0,00; Reino Unido
12987;2; 47,7;1,533,333,333; 73,00; Reino Unido
12988;1; 50,9;3,635,714,286; 292,00; Reino Unido
12989;7;278.02;3.500714286;3; Reino Unido
12990;1; 41,6; 2,08; 185,00; Reino Unido
12991;1; 5,04; 0,42; 112,00; Reino Unido
12993;2; 39,3; 1,47; 120,00; Reino Unido
12994;5; 18,52;1,545,833,333; 4,00; Reino Unido
12997;3;106.2733333;2.62216092;22; Reino Unido
12999;2; 8,37;1,185; 205,00; Reino Unido
13000;1; 43,1;1,436,666,667; 259,00; Reino Unido
13001;13;65.89230769;2.313782713;4; Reino Unido
13002;1; 9,95; 9,95; 318,00; Reino Unido
13004;15;41.32133333;1.028317419;11; Reino Unido
13005;1; 29,8; 7,45; 246,00; Reino Unido
13008;1; 13,92; 0,29; 323,00; Reino Unido
13012;5; 26,41;4,867,740,891; 78,00; Reino Unido
13013;12;43.9825;3.659651405;1; Reino Unido
13014;11;33.90272727;5.532714024;10; Reino Unido
13015;5;62.884;2.247405483;53; Reino Unido
13016;3; 13,32;1,803,333,333; 73,00; Reino Unido
13018;22;42.37090909;1.68737205;16; Reino Unido
13021; ??8;49.09;2.71073648;4; Reino Unido
13023;2;80.865;2.191061381;64; Reino Unido
13026;1; 13,8; 0,23; 1,00; Reino Unido
13027;2;480; 0,4; 113,00; Reino Unido
13028;2;18.095;0.82;22; Reino Unido
13030;2; 48,13;2,326,979,167; 11,00; Reino Unido
13032;2; 40,78;2,180,416,667; 52,00; Reino Unido
13033;1; 37,35;2,873,076,923; 357,00; Reino Unido
13034;2; 34,83; 2,21; 54,00; Reino Unido
13035;3; 16,71;1,296,666,667; 57,00; Reino Unido
13037;3;47.95666667;2.627507246;138; Reino Unido
13038;2; 19,8; 1,65; 183,00; Reino Unido
13040;2; 55,6;1,959,210,526; 8,00; Reino Unido
13044;1; 22,4; 0,82962963; 291,00; Reino Unido
13045;1; 115,6;180,625; 99,00; Reino Unido
13046;1; 17,4; 1,45; 30,00; Reino Unido
13047;7;31.09285714;5.096289334;127; Reino Unido
13048;4;333,125;1,171,322,263; 14,00; Reino Unido
13049;2; 38,1; 1,9; 64,00; Reino Unido
13050;15;36.54733333;2.558500986;14; Reino Unido
13052;1;49.1;1.067391304;212; Reino Unido
13055;2;59.15;1.37810559;78; Reino Unido
13058;1; 9,95; 9,95; 24,00; Reino Unido
13059;1; 25,6; 3,2; 249,00; Reino Unido
13060;1;150.18;2.422258065;253; Reino Unido
13061;1; 16,5; 1,65; 72,00; Reino Unido
13062;1; 19,8; 1,65; 191,00; Reino Unido
13064;4;27.075;3.564583333;12; Reino Unido
13065;1; 17,7; 2,95; 373,00; Reino Unido
13066;2; 14,78; 0,796818182; 24,00; Reino Unido
13067;1; 17,4; 4,35; 82,00; Reino Unido
13069;18;22.52555556;1.484630278;0; Reino Unido
13070;1; 41,6; 2,08; 192,00; Reino Unido
13072;1; 35,4; 2,95; 266,00; Reino Unido
13075;1; 116,85;271,744,186; 129,00; Reino Unido
13077;3;17.27333333;0.744017094;1; Reino Unido
13078;24;46.475;3.487824901;3; Reino Unido
13079;2; 17,7; 2,95; 21,00; Reino Unido
13081;12;369.4175;2.752785485;11; Reino Unido
13082;5; 20,34; 2,31; 126,00; Reino Unido
13083;1;52.04;1.369473684;75; Reino Unido
13085;2; 26,2;5,725; 157,00; Reino Unido
13089;64;92.88453125;3.211897417;2; Reino Unido
13090;7;137.0471429;4.709823184;31; Reino Unido
13091;1; 35,88; 0,69; 28,00; Reino Unido
13092;2;13.605;3.17;70; Reino Unido
13093;6;87.00166667;1.981854637;275; Reino Unido
13095;1; 23,28; 0,323333333; 70,00; Reino Unido
13097;12;56.23666667;2.834149294;32; Reino Unido
13098;24;160.4983333;2.414771242;1; Reino Unido
13101;1;16.8;2.1;234; Reino Unido
13102;18;24.32333333;2.332456832;1; Reino Unido
13103;1; 27,04; 1,69; 39,00; Reino Unido
13104;1; 19,8; 1,65; 46,00; Reino Unido
13106;1; 76,5; 4,25; 133,00; Reino Unido
13107;1; 19,8; 1,65; 175,00; Reino Unido
13109;2; 59,74;1,190,593,074; 59,00; Reino Unido
13110;6;26.50666667;2.836298098;31; Reino Unido
13113;15;79.12533333;3.202750324;40; Reino Unido
13115;3;83.73333333;2.769322344;11; Reino Unido
13116;1; 99,2;4,133,333,333; 138,00; Reino Unido
13117;2; 10,77;1,035; 238,00; Reino Unido
13118;6;27.18333333;3.465416667;19; Reino Unido
13121;2; 18,99;11,778,125; 269,00; Reino Unido
13122;1; 66,6; 3,33; 240,00; Reino Unido
13124;3;105.6066667;1.89275641;89; Reino Unido
13126;6;24.14333333;1.961825335;44; Reino Unido
13127;1; 10,2; 0,85; 77,00; Reino Unido
13130;1;25; 1,25; 94,00; Reino Unido
13131;2; 59,3;31,625; 23,00; Reino Unido
13132;1;17;8.5;261; Reino Unido
13133;2;14.875;7.45;273; Reino Unido
13134;4;67.195;3.664259679;72; Reino Unido
13136;5;58.004;3.048808392;50; Reino Unido
13137;8;52.7875;1.809461189;10; Reino Unido
13138;4;23.625;2.8875;46; Reino Unido
13139;4;138.3575;2.928082485;32; Reino Unido
13140;3;17.05;5.216666667;108; Reino Unido
13141;5;66.092;2.44029521;84; Reino Unido
13142;1; 2,95; 2,95; 19,00; Reino Unido
13144;1; 23,6; 2,95; 332,00; Reino Unido
13145;1; 118,8; 4,95; 39,00; Reino Unido
