CoDIGO PERSONA;EMPRESA;EDAD;SEXO;"ACTIVO/ CESADO 
(Data 07/12)";SEGMENTO;SEGMENTO_PERSONAL;CATEGORiA_PERSONAL;POSICION;UO3;UO2;NACIONAL/ EXTRANJERO;AGRUPADOR;EVENTO DE APRENDIZAJE;FECHA DE INICIO;FECHA DE TeRMINO;MES DE INICIO;TOTAL HORAS POR PERSONA;CAPACITACION_DE_PAGA;HORAS POR CURSO;CAPACIDAD;MODALIDAD;INVERSION PERCAPITA (US$);DOCENTE/INSTITUCIoN;ASISTENCIA
6507004;Rimac Seguros y Reasegrs;45;Femenino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540736;Rimac Seguros y Reasegrs;28;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA SR RETENCION Y GESTION CLIENTES;DISEÑO EXPERIENCIA Y ESTRATEGIA CLIENTES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540168;Rimac Seguros y Reasegrs;40;Femenino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6536016;Rimac Seguros y Reasegrs;33;Femenino;ACTIVO;Empleado;ATENCION AL CLIENTE;MASIVOS FRONT;EJECUTIVO DE SERVICIO;CORPORATIVO Y ESTADO;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6539799;Rimac S.A. EPS;34;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ASESOR TECNICO EN PREVENCION DE RRLL;RIESGOS HUMANOS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6539751;Rimac Seguros y Reasegrs;25;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA ESTRATEGIA DE CLIENTES;DISEÑO EXPERIENCIA Y ESTRATEGIA CLIENTES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6540273;Rimac Seguros y Reasegrs;24;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE RECLUTAMIENTO;GESTION DEL TALENTO;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540537;Rimac Seguros y Reasegrs;37;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA ASEGURAMIENTO DE CALIDAD;DESARROLLO TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504260;Rimac Seguros y Reasegrs;29;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO COMERCIAL PROV;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6531332;Rimac Seguros y Reasegrs;32;Masculino;ACTIVO;Empleado;ATENCION AL CLIENTE;MASIVOS FRONT;SUPERVISOR DE VENTAS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6532260;Rimac Seguros y Reasegrs;26;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA COMERCIAL;PRODUCTO;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6501555;Rimac Seguros y Reasegrs;43;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE REQUERIMIENTOS;DESARROLLO TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6532678;Rimac Seguros y Reasegrs;24;Masculino;CESADO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO DE OPERACIONES;OPERACIONES SELF SERVICE RRLL;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6501218;Rimac Seguros y Reasegrs;37;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO DE OPERACIONES;OPERACIONES SELF SERVICE RRLL;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6525920;Rimac Seguros y Reasegrs;27;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO PROYECTOS SELF SERVICE;IMPLEMENTACION Y CONFIGURACION DE PROD.;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6507100;Rimac Seguros y Reasegrs;47;Femenino;CESADO;Empleado;ADMINISTRATIVOS;COLABORADOR;VERIFICADOR DE DATOS;GESTION SERVICIOS OPERATIVOS;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6501593;Rimac Seguros y Reasegrs;33;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO SERVICIO DE OPERACIONES;EMISION RRGG;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6524745;Rimac Seguros y Reasegrs;55;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6502922;Rimac Seguros y Reasegrs;40;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EXPERTO DE APLICACIONES;DESARROLLO TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540506;Rimac S.A. EPS;35;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO SERVICIO ITINERANTE SALUD;SINIESTROS SALUD PROVEEDORES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6542215;Rimac S.A. EPS;37;Femenino;ACTIVO;Empleado;ATENCION AL CLIENTE;MASIVOS FRONT;LICENCIADO ATENCIONES MEDICAS;EXPERIENCIA DEL CLIENTE;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6504892;Rimac S.A. EPS;38;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVOS SINIESTROS FRONT OFFICE;SINIESTROS SALUD PERSONAS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6509447;Rimac Seguros y Reasegrs;30;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO PROYECTOS SELF SERVICE;IMPLEMENTACION Y CONFIGURACION DE PROD.;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541064;Rimac Seguros y Reasegrs;47;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE GESTION SERVICIOS OPERATIVOS;GESTION SERVICIOS OPERATIVOS;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6502089;Rimac Seguros y Reasegrs;46;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6502077;Rimac Seguros y Reasegrs;43;Femenino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE GEST COMPENSACIONES Y ADMIN;BUSINESS PARTNER Y COMPENSACIONES;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504624;Rimac S.A. EPS;42;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE GESTION;SINIESTROS SALUD PERSONAS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6505032;Rimac S.A. EPS;46;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO DE DIGITALIZACION;SINIESTROS SALUD PROVEEDORES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6502000;Rimac Seguros y Reasegrs;42;Femenino;CESADO;Empleado FFVV;ATENCION AL CLIENTE;MASIVOS FRONT;SUPERVISOR DE VENTAS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500651;Rimac Seguros y Reasegrs;53;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVOS FRONT;SUPERVISOR DE VENTAS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6537110;Rimac Seguros y Reasegrs;45;Masculino;ACTIVO;Gerente;GERENCIAL;GTE;GERENTE REASEGUROS Y COASEGUROS;REASEGUROS Y COASEGUROS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6506384;Rimac Seguros y Reasegrs;47;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE CAJA;ADMINISTRACION Y CONTROL DE RIESGOS;DIVISION FINANZAS Y CONTROL DE RIESGO;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540711;Rimac Seguros y Reasegrs;34;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;INGENIERO AUTOMATIZACION DE PRUEBAS;DESARROLLO TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6533793;Rimac Seguros y Reasegrs;31;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;SCRUM MASTER;SCRUMS TRIBU VIDA;CENTRO EXCELENCIA AGIL;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6541426;Rimac Seguros y Reasegrs;24;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;TRAINEE;COE DIGITAL DESIGN;INNOVACION Y ESTRATEGIA DIGITAL;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6515693;Rimac Seguros y Reasegrs;33;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PRODUCTO;TRIBU VIDA;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6538036;Rimac Seguros y Reasegrs;38;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;INGENIERO DE DEVOPS;OPERACIONES TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6541422;Rimac Seguros y Reasegrs;26;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;TRAINEE;COE DIGITAL DESIGN;INNOVACION Y ESTRATEGIA DIGITAL;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6501841;Rimac Seguros y Reasegrs;38;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;SUSCRIPTOR SR;PRODUCTO;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504491;Rimac S.A. EPS;39;Femenino;ACTIVO;Empleado;ATENCION AL CLIENTE;MASIVOS FRONT;EJECUTIVO DE SERVICIO;CORREDORES ESTRATEGICOS EB;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6500347;Rimac Seguros y Reasegrs;43;Femenino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE COMERCIAL;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6504093;Rimac Seguros y Reasegrs;43;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;GESTOR COMERCIAL;CORPORATIVO Y ESTADO;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6539460;Rimac Seguros y Reasegrs;30;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE DE PRODUCTO;PRODUCTO;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6500245;Rimac Seguros y Reasegrs;50;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVOS FRONT;SUPERVISOR DE VENTAS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6501578;Rimac Seguros y Reasegrs;38;Femenino;ACTIVO;Sub-Gerente;GERENCIAL;SGTE;SUBGERENTE DE PRODUCTO;PRODUCTO;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6501713;Rimac Seguros y Reasegrs;36;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE SOPORTE COMERCIAL;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6523755;Rimac S.A. EPS;40;Femenino;ACTIVO;Empleado;ATENCION AL CLIENTE;MASIVOS FRONT;EJECUTIVO DE SERVICIO;CORREDORES ESTRATEGICOS EB;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6538915;Rimac Seguros y Reasegrs;30;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE APRENDIZAJE Y GEST DEL CONOCIMIENTO;GESTION DEL TALENTO;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6533811;Rimac Seguros y Reasegrs;27;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA COMUNICACION INTERNA;CULTURA Y COMUNICACION INTERNA;DIVISION GESTION Y DESARROLLO HUMANO;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6536072;Rimac Seguros y Reasegrs;28;Femenino;ACTIVO;Empleado FFVV;ATENCION AL CLIENTE;MASIVAS FFVV;ASESOR DE SEGUROS;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6537857;Rimac Seguros y Reasegrs;24;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA PROYECTOS Y GESTION DE INFORMAC;RIESGOS HUMANOS;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6538330;Rimac Seguros y Reasegrs;42;Masculino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;GESTOR ESTRATEGIA COMERCIAL;DIVISION SEGUROS EMPRESAS;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6532806;Rimac Seguros y Reasegrs;47;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;TECHNICAL TRIBE LEAD;DESARROLLO TI;TECNOLOGIA DE INFORMACION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6502056;Rimac Seguros y Reasegrs;45;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;SUPERVISOR OPERACIONES SELF SERVICE;OPERACIONES SELF SERVICE RRLL;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6539177;Rimac Seguros y Reasegrs;36;Masculino;ACTIVO;Empleado FFVV;ADMINISTRATIVOS;COLABORADOR;SUPERVISOR DE TELEMARKETING;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500206;Rimac Seguros y Reasegrs;41;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;COORDINADOR DE SERVICIO;IMPLEMENTACION Y CONFIGURACION DE PROD.;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6539797;Rimac Seguros y Reasegrs;36;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;CAPACITADOR;CANALES;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6500721;Rimac Seguros y Reasegrs;39;Masculino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;SUPERVISOR GESTION Y CONTROL DE RESERVAS;SINIESTROS VEHICULARES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6501642;Rimac Seguros y Reasegrs;49;Femenino;ACTIVO;Jefe;ADMINISTRATIVOS;JEFE;JEFE GESTION DE CONTROL Y MEJORA;EXPERIENCIA DEL CLIENTE;DIVISION DISTRIBUCION;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
6540898;Rimac Seguros y Reasegrs;31;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;ANALISTA DE CRM;DISEÑO EXPERIENCIA Y ESTRATEGIA CLIENTES;DIVISION SEGUROS PERSONAS Y SALUD;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;FALTO
6511275;Rimac S.A. EPS;45;Femenino;ACTIVO;Empleado;ADMINISTRATIVOS;COLABORADOR;EJECUTIVO DE AFILIACION;CORREDORES ESTRATEGICOS EB;DIVISION SEGUROS EMPRESAS;NACIONAL;LEARNING;Talk Rimac;8/04/2020;8/04/2020;4;1;1;0;INNOVACION;VIRTUAL;0;Cesar Acuña;ASISTIO
